epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7799,1.38528,3.53287,1.24594,0.00601,1,0.32802,0.20533,1.3099,3.33632,1.16827,1.667e-05,1.667e-05,1.667e-05
2,73.6783,1.2965,3.52512,1.16478,0.00598,1,0.46083,0.28776,1.26382,3.23517,1.09124,4.90198e-05,4.90198e-05,4.90198e-05
3,252.822,1.17681,3.27945,1.14764,0.00571,1,0.59111,0.40326,1.2178,3.10946,1.02081,8.00493e-05,8.00493e-05,8.00493e-05
4,304.341,1.12648,3.10289,1.07895,0.00552,1,0.71913,0.48511,1.14933,3.05174,0.97689,0.000109759,0.000109759,0.000109759
5,417.672,1.16355,2.67088,1.04455,0.00518,1,0.63964,0.46186,1.0011,3.00377,0.90209,0.000138148,0.000138148,0.000138148
6,473.966,1.08377,2.30445,1.03028,0.00492,1,0.69386,0.52471,0.94829,2.9206,0.88271,0.000165216,0.000165216,0.000165216
7,533.808,1.09253,1.94463,1.06383,0.00471,1,0.64567,0.4732,0.98809,2.82075,0.89302,0.000190965,0.000190965,0.000190965
8,597.137,1.0418,1.8225,1.00482,0.00463,1,0.64758,0.47077,0.97012,2.72159,0.88634,0.000215393,0.000215393,0.000215393
9,836.601,1.02468,1.79355,0.98671,0.00463,1,0.69235,0.50777,0.94919,2.69525,0.88898,0.000238501,0.000238501,0.000238501
10,890.953,1.07534,1.62929,1.04639,0.00462,1,0.68,0.48479,0.91953,2.69343,0.88045,0.000260289,0.000260289,0.000260289
11,954.217,0.98037,1.56352,0.95,0.00462,1,0.7931,0.57521,0.8796,2.65314,0.86064,0.000280756,0.000280756,0.000280756
12,1037.86,0.98736,1.58761,0.95066,0.00464,1,0.7931,0.59327,0.8879,2.6062,0.87074,0.000299903,0.000299903,0.000299903
13,1113.75,1.02446,1.50815,1.00112,0.00465,1,0.78095,0.62332,0.87265,2.59247,0.87884,0.00031773,0.00031773,0.00031773
14,1161.27,1.09647,1.57718,1.0328,0.00463,1,0.75438,0.59824,0.86186,2.57565,0.87965,0.000334237,0.000334237,0.000334237
15,1217.64,0.94255,1.52494,0.96428,0.00463,1,0.71292,0.53794,0.85371,2.5745,0.882,0.000349423,0.000349423,0.000349423
16,1271.64,1.04092,1.55157,1.00544,0.32019,1,0.76833,0.59991,0.85655,2.5507,0.88203,0.000363289,0.000363289,0.000363289
17,1346.14,1.00717,1.44968,1.02148,0.62887,0.58357,0.7825,0.60477,0.90521,2.48514,0.8749,0.000375835,0.000375835,0.000375835
18,1437.22,0.97134,1.57543,1.01636,0.91987,0.33333,0.7931,0.60489,0.90995,2.40846,0.87326,0.000387061,0.000387061,0.000387061
19,1506.94,0.98088,1.34243,0.99774,0.92146,0.33333,0.82143,0.63104,0.91181,2.40074,0.87475,0.000396966,0.000396966,0.000396966
20,1577.62,1.00623,1.43996,1.07551,0.91854,0.42979,0.83357,0.63164,0.91945,2.39467,0.87556,0.000405551,0.000405551,0.000405551
21,1657.52,0.93112,1.36163,0.98635,0.92301,0.46104,0.77829,0.59187,0.91097,2.40863,0.86931,0.000412816,0.000412816,0.000412816
22,1817.62,0.98046,1.30009,0.99271,0.55272,0.52161,0.79602,0.63219,0.91526,2.41239,0.86663,0.00041876,0.00041876,0.00041876
23,1884.51,1.08889,1.53807,1.06737,0.70885,0.57869,0.78603,0.60654,0.88947,2.36537,0.86532,0.000423385,0.000423385,0.000423385
24,1938.04,1.02312,1.314,1.00825,0.7219,0.51842,0.81345,0.63359,0.89905,2.35619,0.86865,0.000426689,0.000426689,0.000426689
25,1993.22,0.87933,1.30677,0.97044,0.65266,0.55786,0.80929,0.62382,0.8809,2.34669,0.87009,0.000428672,0.000428672,0.000428672
26,2058.05,0.9174,1.2326,0.95192,0.64854,0.53333,0.82143,0.6413,0.88275,2.31107,0.8749,0.000429336,0.000429336,0.000429336
27,2373.74,0.93563,1.2536,0.9472,0.65556,0.58454,0.82143,0.64845,0.91919,2.25085,0.89518,0.000428679,0.000428679,0.000428679
28,2438.87,0.97557,1.41891,1.03024,0.65556,0.58454,0.82143,0.64845,0.91919,2.25085,0.89518,0.000426702,0.000426702,0.000426702
29,2502.8,0.95315,1.24504,0.98691,0.72518,0.67402,0.8256,0.63597,0.95341,2.21454,0.90979,0.000423405,0.000423405,0.000423405
30,2558.39,0.94598,1.41093,1.02303,0.6919,0.66991,0.82294,0.63531,0.96184,2.16191,0.90859,0.000418787,0.000418787,0.000418787
31,2606.28,0.82454,1.19335,0.96961,0.6919,0.66991,0.82294,0.63531,0.96184,2.16191,0.90859,0.000412849,0.000412849,0.000412849
32,2659.87,0.93103,1.3993,1.01144,0.60047,0.64774,0.845,0.65738,0.98893,2.11612,0.90097,0.000405591,0.000405591,0.000405591
33,2720.9,0.89066,1.15799,0.96108,0.66489,0.69715,0.79701,0.59246,1.00981,2.11631,0.90694,0.000397013,0.000397013,0.000397013
34,2795.76,0.84259,1.1927,0.97229,0.66489,0.69715,0.79701,0.59246,1.00981,2.11631,0.90694,0.000387114,0.000387114,0.000387114
35,2898.55,0.88457,1.17114,1.01061,0.66838,0.56445,0.82143,0.6094,0.99662,2.12567,0.90177,0.000375895,0.000375895,0.000375895
36,2977.12,0.96995,1.21043,1.00027,0.66069,0.5665,0.8256,0.61333,1.04947,2.15196,0.92071,0.000363356,0.000363356,0.000363356
37,3042.17,0.83054,1.1385,0.99018,0.66069,0.5665,0.8256,0.61333,1.04947,2.15196,0.92071,0.000349497,0.000349497,0.000349497
38,3115.59,0.86257,1.22085,0.99339,0.69668,0.59585,0.815,0.61375,1.09361,2.16947,0.9375,0.000334317,0.000334317,0.000334317
39,3190.59,0.92942,1.07306,0.97071,0.78213,0.70685,0.84643,0.6249,1.12567,2.15926,0.94115,0.000317817,0.000317817,0.000317817
40,3276.86,0.92591,1.17247,1.0037,0.78213,0.70685,0.84643,0.6249,1.12567,2.15926,0.94115,0.000299997,0.000299997,0.000299997
41,3343.5,0.78473,1.58439,0.94224,0.79035,0.79817,0.86429,0.64419,1.12363,2.15056,0.93877,0.000280856,0.000280856,0.000280856
42,3410.19,0.8712,1.67729,0.99335,0.74468,0.8,0.86429,0.64375,1.11802,2.13693,0.94211,0.000260395,0.000260395,0.000260395
43,3462.23,0.86987,1.57881,1.00961,0.74468,0.8,0.86429,0.64375,1.11802,2.13693,0.94211,0.000238614,0.000238614,0.000238614
44,3514.98,0.90338,1.57072,1.02699,0.72318,0.8,0.86429,0.64375,1.09204,2.11268,0.92985,0.000215513,0.000215513,0.000215513
45,3569.88,0.86255,1.55908,0.98278,0.72318,0.8,0.86429,0.64375,1.09204,2.11268,0.92985,0.000191092,0.000191092,0.000191092
46,3625.87,0.93005,1.55999,1.01872,0.70599,0.8,0.85369,0.63546,1.06531,2.06619,0.91947,0.00016535,0.00016535,0.00016535
47,3695.62,0.83598,1.54659,0.9625,0.70599,0.8,0.85369,0.63546,1.06531,2.06619,0.91947,0.000138288,0.000138288,0.000138288
